index,nome_sub_familia,quantidade,total_qtd,percent_qtd
84,CREME/GEL DENTAL INF,6.0,572621.6050000001,0.0010478123681693775
242,ROSBIFE,5.952,572621.6050000001,0.0010394298692240225
62,CHAS,5.0,572621.6050000001,0.0008731769734744814
55,CEBOLINHA CONSERVA,5.0,572621.6050000001,0.0008731769734744814
168,LEITE LV MODIFICADO,5.0,572621.6050000001,0.0008731769734744814
199,OLEO CORPORAL,5.0,572621.6050000001,0.0008731769734744814
218,PICLES,4.0,572621.6050000001,0.000698541578779585
92,DESINFETANTE 500ML,4.0,572621.6050000001,0.000698541578779585
163,LAVA ROUPAS ESPECIAIS,3.0,572621.6050000001,0.0005239061840846888
4,ACHOCOLATADO LIGHT,3.0,572621.6050000001,0.0005239061840846888
160,JURUBEBA,3.0,572621.6050000001,0.0005239061840846888
243,RUM,3.0,572621.6050000001,0.0005239061840846888
226,PROTETOR SOLAR,2.0,572621.6050000001,0.0003492707893897925
97,DETERGENTE GEL,2.0,572621.6050000001,0.0003492707893897925
78,CORANTE ROUPAS,2.0,572621.6050000001,0.0003492707893897925
152,HIGIENE ANIMAL,1.0,572621.6050000001,0.00017463539469489626
79,CREME ASSADURA,1.0,572621.6050000001,0.00017463539469489626
